character,initials,media,vowel,tone,toneindex
的,ㄉ,,ㄜ,˙,0
的,ㄉ,ㄧ,,ˋ,4
一,,ㄧ,,˙,0
是,ㄕ,,,ˋ,4
了,ㄌ,,ㄜ,˙,0
不,ㄅ,ㄨ,,ˋ,4
我,,ㄨ,ㄛ,ˇ,3
有,,ㄧ,ㄡ,ˇ,3
在,ㄗ,,ㄞ,ˋ,4
人,ㄖ,,ㄣ,ˊ,2
來,ㄌ,,ㄞ,ˊ,2
